"Set time range (minutes):","Встановити інтервал (хвилини):"
"Minimum random time input value","Мінімальний час для випадкового інтервалу"
"Maximum random time input value","Максимальний час для випадкового інтервалу"
"Hide random time","Не відображати випадковий час"
"Show loader on run","Показувати анімацію відліку"
"Reset","Скинути"
"Apply","Застосувати"
"Play","Відтворити"
"Pause","Зупинити"
"Show hint","Показати підказку"
"Instruction","Інструкція"
"Rules are simple: when time is over, you have to drink.","Правила прості: коли час виходить, ви маєте пити."
"Big red button in the center will start or stop the timer. Circular slider will help you to set up the time. And ""Random"" button.. will give you a random time left.","Велика червона кнопка у центрі запустить чи зупинить таймер. Круговий слайдер допоможе виставити час. А ""Випадкова"" кнопка.. встановить вам випадковий час."
"Time interval can be configured in the menu, check the left-top corner of the page.","Часовий інтервал можна налаштувати у меню, перевірте лівий верхній кут сторінки."
"Got it!","Зрозуміло!"
"Settings were applied","Налаштування було застосовано"
"It time to start!","Час розпочинати!"
