"Playlist","Плейлист"
"No audio tracks found","Аудио треки не были найдены"
"Just drag'n'drop audio file to this tab to play it","Просто перетащите аудио файл в эту вкладку для его воспроизведения"
"Select audio from playlist or drag'n'drop a file here","Выберите аудио из плейлиста либо перетащите файл в эту вкладку"
"Play","Воспроизвести"
"Pause","Остановить"
"Fullscreen","На весь экран"
"Share","Поделиться"
"Share a link","Поделиться ссылкой"
"Url to share","Ссылка для копирования"
"Copy","Копировать"
"Start with %1","Начать с %1"
"Done","Готово"
