"Playlist","Плейлист"
"No audio tracks found","Аудіо треки не було знайдено"
"Just drag'n'drop audio file to this tab to play it","Просто перетягніть аудіо файл до цієї вкладки для його відтворення"
"Select audio from playlist or drag'n'drop a file here","Оберіть аудіо з плейлиста або перетягніть файл до цієї вкладки"
"Play","Відтворити"
"Pause","Зупинити"
"Fullscreen","На увесь екран"
"Share","Поділитись"
"Share a link","Поділитись посиланням"
"Url to share","Посилання для поширення"
"Copy","Копіювати"
"Start with %1","Починати з %1"
"Done","Готово"
